mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.20208053588867186,0.015289367883531278,0.012396144866943359,0.001772915960094806,10,sqrt,2,2,50,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",-11803.420637686826,-4811.192264866702,-6570.69561487238,-6843.641193591909,-11059.795237164259,-8217.748989636415,2725.430381215608,153
0.3976253032684326,0.03881559238777196,0.021351194381713866,0.003218132237231342,10,sqrt,2,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-11593.342882620213,-4927.093488350578,-6266.114756617766,-7365.419209184777,-11555.667020031253,-8341.527471360918,2750.399287651599,166
0.2281655788421631,0.019354647861788137,0.012897300720214843,0.001723454992055566,10,sqrt,2,5,45,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 45}",-11457.772333813717,-5757.469648390447,-6109.527456089714,-7249.5633664837615,-11210.627827124335,-8356.992126380395,2481.6562059800544,168
0.2164605140686035,0.006013001717018199,0.013557338714599609,0.0032746031463843765,10,sqrt,2,5,50,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",-11412.594923961231,-5796.61232064438,-6041.746526991922,-7254.9162795108305,-11080.580629544325,-8317.290136130538,2444.4729353528674,164
0.42817153930664065,0.023113103247394844,0.023649168014526368,0.005864151189100632,10,sqrt,2,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-11291.342104642254,-5355.5334120688485,-5917.265025317898,-6965.239778025319,-10881.157743580168,-8082.107612726897,2510.0602271369385,151
0.1802793025970459,0.03598719458480565,0.009848642349243163,0.001547798089382237,10,sqrt,2,10,45,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 45}",-11050.018042640437,-5109.821887172645,-6462.375044878905,-6859.573532303804,-12266.691858303988,-8349.696073059957,2789.760753587355,167
0.19632558822631835,0.00770526818950465,0.013077449798583985,0.0033617759398850266,10,sqrt,2,10,50,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",-10794.15927112319,-5125.941251484474,-6587.4561332241965,-6805.192782085543,-11982.610295480348,-8259.07194667955,2646.3551380626577,161
0.36234354972839355,0.011514670136590357,0.0229616641998291,0.0018864504614750787,10,sqrt,2,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-11485.606127682771,-5185.024539091358,-6505.385723966875,-6912.643809792799,-12378.907959826909,-8493.513632072143,2879.125167018333,170
0.1623176097869873,0.003997412627966464,0.012764406204223634,0.0018604830470589854,10,sqrt,4,2,45,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 45}",-11982.402982402546,-5515.8761872456225,-6516.502023462217,-7603.949883672654,-12410.78746948012,-8805.903709252632,2849.409367934475,213
0.23946032524108887,0.006062537887513335,0.01226944923400879,0.0006916364344500584,10,sqrt,4,2,50,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-12105.631092520087,-5374.639111386359,-6655.819557931185,-7218.926946723267,-12231.63904034768,-8717.331149781716,2880.957192125009,201
0.41916117668151853,0.01741446491042293,0.023628854751586915,0.0023528834482567976,10,sqrt,4,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-12421.44164176759,-5451.331096476157,-6573.337293010578,-7108.471099594831,-12557.930158775125,-8822.502257924856,3041.947637351187,215
0.17109413146972657,0.016358933683206667,0.011427736282348633,0.0009702984579455631,10,sqrt,4,5,45,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 45}",-11982.402982402546,-5515.8761872456225,-6516.502023462217,-7603.949883672654,-12410.78746948012,-8805.903709252632,2849.409367934475,213
0.22072205543518067,0.01260479982069713,0.011806726455688477,0.0007797283289836879,10,sqrt,4,5,50,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",-12105.631092520087,-5374.639111386359,-6655.819557931185,-7218.926946723267,-12231.63904034768,-8717.331149781716,2880.957192125009,201
0.3888718605041504,0.012720250178455352,0.020427989959716796,0.0017542112270085312,10,sqrt,4,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-12421.44164176759,-5451.331096476157,-6573.337293010578,-7108.471099594831,-12557.930158775125,-8822.502257924856,3041.947637351187,215
